Vĩ độ,Kinh độ,Tỉnh,Huyện,Xã,Tiểu vùng,Thửa đất,Lô đất,Chủ rừng,Loại đất,Nguồn gốc tài nguyên rừng,Ngày,Độ ưu tiên,Trạng thái
11.2849,108.090663,Lâm Đồng,Di Linh,Gia Bắc,738,3.0,17.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-06-30,Thấp,Chưa xác minh
11.6026,108.142149,Lâm Đồng,Di Linh,Dinh Lac,647A,1.0,18.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-07-12,Thấp,Chưa xác minh
11.4934,108.013369,Lâm Đồng,Di Linh,Liên Đầm,660B,5.0,25.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-07-12,Thấp,Chưa xác minh
11.4155,108.211418,Lâm Đồng,Di Linh,Tam Bố,704,6.0,6.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-07-12,Thấp,Chưa xác minh
11.4155,108.28234,Lâm Đồng,Di Linh,Tam Bố,725,6.0,10.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tự nhiên lá rộng rụng lá trung bình,Rừng tự nhiên,2018-07-12,Thấp,Chưa xác minh
11.4099,108.074515,Lâm Đồng,Di Linh,Gia Bắc,708,1.0,5.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng phục hồi,Rừng tự nhiên,2018-07-12,Trung bình,Chưa xác minh
11.4085,108.054258,Lâm Đồng,Di Linh,Sơn Điền,709B,2.0,21.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-07-12,Thấp,Chưa xác minh
11.4075,108.05576,Lâm Đồng,Di Linh,Sơn Điền,709B,4.0,4.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-07-12,Trung bình,Chưa xác minh
11.3859,108.254919,Lâm Đồng,Di Linh,Tam Bố,727,6.0,1.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-07-12,Thấp,Chưa xác minh
11.3796,108.078076,Lâm Đồng,Di Linh,Gia Bắc,708,11.0,17.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên lá kim trung bình,Rừng tự nhiên,2018-07-12,Trung bình,Chưa xác minh
11.377,108.070787,Lâm Đồng,Di Linh,Gia Bắc,708,10.0,25.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên hỗn hợp lá rộng và lá kim nghèo,Rừng tự nhiên,2018-07-12,Trung bình,Chưa xác minh
11.3421,108.141179,Lâm Đồng,Di Linh,Gia Bắc,731,7.0,4.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-07-12,Thấp,Chưa xác minh
11.2406,108.056414,Lâm Đồng,Di Linh,Sơn Điền,737A,6.0,7.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng nghèo,Rừng tự nhiên,2018-07-12,Thấp,Chưa xác minh
11.5121,108.058678,Lâm Đồng,Di Linh,Gung Ré,661A,2.0,12.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng tự nhiên thường xanh lá rộng rất nghèo,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.5115,108.24931,Lâm Đồng,Di Linh,Tam Bố,677,4.0,3.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-08-05,Cao,Chưa xác minh
11.5054,108.059918,Lâm Đồng,Di Linh,Gung Ré,661A,5.0,48.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-08-05,Thấp,Chưa xác minh
11.4964,108.225996,Lâm Đồng,Di Linh,Tam Bố,680,1.0,6.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-08-05,Trung bình,Chưa xác minh
11.4471,108.124956,Lâm Đồng,Di Linh,Bảo Thuận,698,8.0,4.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên lá kim nghèo,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.4269,108.120284,Lâm Đồng,Di Linh,Bảo Thuận,706,6.0,7.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng trồng khác,Rừng trồng,2018-08-05,Trung bình,Chưa xác minh
11.4262,108.009926,Lâm Đồng,Di Linh,Sơn Điền,687A,6.0,11.0,Ban Quản lý Rừng phòng hộ Hòa Bắc - Hòa Nam,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.3749,108.224444,Lâm Đồng,Di Linh,Tam Bố,724,6.0,9.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.3346,108.053562,Lâm Đồng,Di Linh,Gia Bắc,733,5.0,7.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.3333,108.149996,Lâm Đồng,Di Linh,Gia Bắc,731,8.0,2.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
11.3304,108.048415,Lâm Đồng,Di Linh,Sơn Điền,717,7.0,6.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-08-05,Cao,Chưa xác minh
11.3243,108.056339,Lâm Đồng,Di Linh,Gia Bắc,733,12.0,7.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-08-05,Trung bình,Chưa xác minh
11.3079,108.092379,Lâm Đồng,Di Linh,Gia Bắc,735,2.0,31.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-08-05,Cao,Chưa xác minh
11.2908,108.051653,Lâm Đồng,Di Linh,Sơn Điền,734,8.0,2.0,Công ty TNHH xuất nhập khẩu Tiến Lê,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-08-05,Thấp,Chưa xác minh
